code,level,term_type,japanese,english,needs_review
C49.8,specific,優先用語,結合組織，皮下組織及びその他の軟部組織の境界部病巣,"Overlapping lesion of connective, subcutaneous and other soft tissues",
C49.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C49.9,specific,優先用語,結合組織，皮下組織及びその他の軟部組織，NOS,"Connective, subcutaneous and other soft tissues, NOS",
C49.9,specific,同義語,脂肪組織，NOS,"Adipose tissue, NOS",
C49.9,specific,同義語,脂肪組織，NOS,"Fatty tissue, NOS",
C49.9,specific,同義語,腱膜，NOS,"Aponeurosis, NOS",
C49.9,specific,同義語,動脈，NOS,"Artery, NOS",
C49.9,specific,同義語,血管，NOS,"Blood vessel, NOS",
C49.9,specific,同義語,滑液のう，NOS,"Bursa, NOS",
C49.9,specific,同義語,結合組織，NOS,"Connective tissue, NOS",
C49.9,specific,同義語,筋膜，NOS,"Fascia, NOS",
C49.9,specific,同義語,線維組織，NOS,"Fibrous tissue, NOS",
C49.9,specific,同義語,靭帯，NOS,"Ligament, NOS",
C49.9,specific,同義語,リンパ管，NOS,"Lymphatic, NOS",
C49.9,specific,同義語,筋，NOS,"Muscle, NOS",
C49.9,specific,同義語,骨格筋，NOS,"Skeletal muscle, NOS",
C49.9,specific,同義語,皮下組織，NOS,"Subcutaneous tissue, NOS",
C49.9,specific,同義語,滑膜，NOS,"Synovia, NOS",
C49.9,specific,同義語,腱，NOS,"Tendon, NOS",
C49.9,specific,同義語,腱鞘，NOS,"Tendon sheath, NOS",
C49.9,specific,同義語,静脈，NOS,"Vein, NOS",
C49.9,specific,同義語,脈管，NOS,"Vessel, NOS",
C50,category,優先用語,乳房（乳房の皮膚C44.5を除く）,BREAST (excludes skin of breast C44.5),
C50.0,specific,優先用語,乳頭,Nipple,
C50.0,specific,同義語,乳輪,Areola,
C50.1,specific,優先用語,乳房中央部,Central portion of breast,
C50.2,specific,優先用語,乳房上内側４分の１,Upper-inner quadrant of breast,
C50.3,specific,優先用語,乳房下内側４分の１,Lower-inner quadrant of breast,
C50.4,specific,優先用語,乳房上外側４分の１,Upper-outer quadrant of breast,
C50.5,specific,優先用語,乳房下外側４分の１,Lower-outer quadrant of breast,
C50.6,specific,優先用語,乳腺腋窩尾部,Axillary tail of breast,
C50.6,specific,同義語,乳腺の尾部，ＮＯＳ,"Tail of breast, NOS",
C50.8,specific,優先用語,乳房の境界部病巣,Overlapping lesion of breast,
C50.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C50.8,specific,同義語,内側乳房,Inner breast,
C50.8,specific,同義語,下部乳房,Lower breast,
C50.8,specific,同義語,乳房正中線部,Midline of breast,
C50.8,specific,同義語,外側乳房,Outer breast,
C50.8,specific,同義語,上部乳房,Upper breast,
C50.9,specific,優先用語,乳房，ＮＯＳ,"Breast, NOS",
C50.9,specific,同義語,乳腺,Mammary gland,
C51,category,優先用語,外陰,VULVA,
C51.0,specific,優先用語,大陰唇,Labium majus,
C51.0,specific,同義語,大陰唇，ＮＯＳ,"Labia majora, NOS",
C51.0,specific,同義語,バルトリン腺,Bartholin gland,
C51.0,specific,同義語,大陰唇の皮膚,Skin of labia majora,
C51.1,specific,優先用語,小陰唇,Labium minus Labia minora,
C51.2,specific,優先用語,陰核,Clitoris,
C51.8,specific,優先用語,外陰の境界部病巣,Overlapping lesion of vulva,
C51.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C51.9,specific,優先用語,外陰，ＮＯＳ,"Vulva, NOS",
C51.9,specific,同義語,女性外性器,External female genitalia,
C51.9,specific,同義語,陰唇小帯,Fourchette,
C51.9,specific,同義語,陰唇，ＮＯＳ,"Labia, NOS Labium, NOS",
C51.9,specific,同義語,恥丘,Mons pubis,
C51.9,specific,同義語,陰阜,Mons veneris,
C51.9,specific,同義語,外陰部,Pudendum,
C51.9,specific,同義語,外陰の皮膚,Skin of vulva,
C52,category,優先用語,腟,VAGINA,
C52.9,specific,優先用語,腟，ＮＯＳ,"Vagina, NOS",
C52.9,specific,同義語,腟円蓋,Vaginal vault Fornix of vagina,
C52.9,specific,同義語,ガルトネル管,Gartner duct,
C52.9,specific,同義語,処女膜,Hymen,
C53,category,優先用語,子宮頸,CERVIX UTERI,
C53.0,specific,優先用語,子宮頸内膜▼１,Endocervix,
C53.0,specific,同義語,内子宮口,Internal os,
C53.0,specific,同義語,頸管,Cervical canal,
C53.0,specific,同義語,子宮頸管,Endocervical canal,
C53.0,specific,同義語,子宮頸管腺,Endocervical gland,
C53.0,specific,同義語,ナボット腺,Nabothian gland,
C53.1,specific,優先用語,子宮頸外部▼１,Exocervix,
C53.1,specific,同義語,外子宮口 子宮膣部▼２,External os,
C53.8,specific,優先用語,子宮頸の境界部病巣▼１,Overlapping lesion of cervix uteri,
C53.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C53.8,specific,同義語,子宮頸断端,Cervical stump,
C53.8,specific,同義語,子宮頸の扁平円柱上皮接合部,Squamocolumnar junction of cervix,
C53.9,specific,優先用語,子宮頸▼１,Cervix uteri,
C53.9,specific,同義語,子宮頸，ＮＯＳ,"Cervix, NOS Uterine cervix",
C54,category,優先用語,子宮体部,CORPUS UTERI,
C54.0,specific,優先用語,子宮峡部▼１,Isthmus uteri,
C54.0,specific,同義語,子宮下部,Lower uterine segment,
C54.1,specific,優先用語,子宮内膜（子宮体部）▼１,Endometrium,
C54.1,specific,同義語,子宮内膜腺,Endometrial gland,
C54.1,specific,同義語,子宮内膜間質,Endometrial stroma,
C54.2,specific,優先用語,子宮筋層▼１,Myometrium,
C54.3,specific,優先用語,子宮底▼１,Fundus uteri,
C54.8,specific,優先用語,子宮体部の境界部病巣,Overlapping lesion of corpus uteri,
C54.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C54.9,specific,優先用語,子宮体部,Corpus uteri Body of uterus,
C55,category,優先用語,子宮，ＮＯＳ,"UTERUS, NOS",
C55.9,specific,優先用語,子宮，ＮＯＳ▼１,"Uterus, NOS Uterine, NOS",
C56,category,優先用語,卵巣,OVARY,
C56.9,specific,優先用語,卵巣,Ovary,
C57,category,優先用語,その他及び部位不明の女性生殖,OTHER AND UNSPECIFIED,
C57,category,同義語,器,FEMALE GENITAL ORGANS,
C57.0,specific,優先用語,卵管,Fallopian tube Uterine tube,
C57.1,specific,優先用語,子宮広間膜,Broad ligament,
C57.1,specific,同義語,卵巣間膜,Mesovarium,
C57.1,specific,同義語,傍卵巣部,Parovarian region,
C57.2,specific,優先用語,子宮円索,Round ligament,
C57.3,specific,優先用語,子宮傍組織,Parametrium,
C57.3,specific,同義語,子宮靱帯,Uterine ligament,
C57.3,specific,同義語,仙骨子宮靱帯,Uterosacral ligament,
C57.4,specific,優先用語,子宮付属器,Uterine adnexa,
C57.4,specific,同義語,付属器，ＮＯＳ,"Adnexa, NOS",
C57.7,specific,優先用語,その他の明示された女性生殖器,Other specified parts of female genital organs,
C57.7,specific,同義語,ウォルフ体,Wolffian body,
C57.7,specific,同義語,ウォルフ管,Wolffian duct,
C57.8,specific,優先用語,女性生殖器の境界部病巣,Overlapping lesion of female genital organs,
C57.8,specific,同義語,注：女性生殖器の新生物〈腫瘍〉で，その,Note : Neoplasms of female genital,
C57.8,specific,同義語,発生部位がC51-C57.7，C58のいずれ,organs whose point of origin,
C57.8,specific,同義語,の項目にも分類されないもの,"cannot be assigned to any one of the categories C51 to C57.7, C58",
C57.8,specific,同義語,卵管－卵巣,Tubo-ovarian,
C57.8,specific,同義語,子宮－卵巣,Utero-ovarian,
C57.9,specific,優先用語,女性生殖系，ＮＯＳ,"Female genital tract, NOS",
C57.9,specific,同義語,女性生殖器，ＮＯＳ,"Female genital organs, NOS",
C57.9,specific,同義語,女性尿路性器，ＮＯＳ,"Female genitourinary tract, NOS",
C57.9,specific,同義語,尿道膣中隔,Urethrovaginal septum,
C57.9,specific,同義語,膀胱子宮頸組織,Vesicocervical tissue,
C57.9,specific,同義語,膀胱腟中隔,Vesicovaginal septum,
C58,category,優先用語,胎盤,PLACENTA,
C58.9,specific,優先用語,胎盤,Placenta,
C58.9,specific,同義語,卵膜,Fetal membranes,
C60,category,優先用語,陰茎,PENIS,
C60.0,specific,優先用語,包皮,Prepuce Foreskin,
C60.1,specific,優先用語,亀頭,Glans penis,
C60.2,specific,優先用語,陰茎体部,Body of penis,
C60.2,specific,同義語,海綿体,Corpus cavernosum Corpus of penis,
C60.8,specific,優先用語,陰茎の境界部病巣,Overlapping lesion of penis,
C60.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C60.8,specific,同義語,陰茎，ＮＯＳ,"C60.9 C60.9 Penis, NOS",
C60.8,specific,同義語,陰茎の皮膚,Skin of penis,
C60.9,specific,優先用語,のうの皮膚C63.2を除く）,and skin of scrotum C63.2),
C61,category,優先用語,前立腺,PROSTATE GLAND,
C61.9,specific,優先用語,前立腺,Prostate gland,
C61.9,specific,同義語,前立腺，ＮＯＳ,"Prostate, NOS",
C62,category,優先用語,精巣,TESTIS,
C62.0,specific,優先用語,停留精巣（新生物〈腫瘍〉の部位）▼１,Undescended testis (site of neoplasm),
C62.0,specific,同義語,潜在精巣（新生物〈腫瘍〉の部位）▼１,Retained testis (site of neoplasm),
C62.0,specific,同義語,異所性精巣（新生物〈腫瘍〉の部位）▼１,Ectopic testis (site of neoplasm),
C62.1,specific,優先用語,下降精巣▼１,Descended testis,
C62.1,specific,同義語,陰のう精巣,Scrotal testis,
C62.9,specific,優先用語,精巣，ＮＯＳ,"Testis, NOS Testicle, NOS",
C63,category,優先用語,その他及び部位不明の男性生殖,OTHER AND UNSPECIFIED,
C63,category,同義語,器,MALE GENITAL ORGANS,
C63.0,specific,優先用語,精巣上体,Epididymis,
C63.1,specific,優先用語,精索,Spermatic cord,
C63.1,specific,同義語,精管,Vas deferens,
C63.2,specific,優先用語,陰のう，ＮＯＳ,"Scrotum, NOS",
C63.2,specific,同義語,陰のうの皮膚,Skin of scrotum,
C63.7,specific,優先用語,その他の明示された男性生殖器,Other specified parts of male genital organs,
C63.7,specific,同義語,精のう,Seminal vesicle,
C63.7,specific,同義語,精巣鞘膜,Tunica vaginalis,
C63.8,specific,優先用語,男性生殖器の境界部病巣,Overlapping lesion of male genital organs,
C63.8,specific,同義語,注：男性性器の新生物〈腫瘍〉で，その発,Note : Neoplasms of male genital organs,
C63.8,specific,同義語,生部位がC60-C63.7のいずれの項目,whose point of origin cannot be,
C63.8,specific,同義語,にも分類されないもの,assigned to any one of the categories C60 to C63.7.,
C63.9,specific,優先用語,男性生殖器，ＮＯＳ,"Male genital organs, NOS",
C63.9,specific,同義語,男性尿路系，ＮＯＳ,"Male genital tract, NOS",
C63.9,specific,同義語,男性尿路性器，ＮＯＳ,"Male genitourinary tract, NOS",
C64,category,優先用語,腎,KIDNEY,
C64.9,specific,優先用語,腎，ＮＯＳ,"Kidney, NOS Renal, NOS",
C64.9,specific,同義語,腎実質,Kidney parenchyma,
C65,category,優先用語,腎盂,RENAL PELVIS,
C65.9,specific,優先用語,腎孟,Renal pelvis Pelvis of kidney,
C65.9,specific,同義語,腎杯,Renal calyces Renal calyx,
C65.9,specific,同義語,腎孟尿管接合部,Pelviureteric junction,
C66,category,優先用語,尿管,URETER,
C66.9,specific,優先用語,尿管,Ureter,
C67,category,優先用語,膀胱,BLADDER,
C67.0,specific,優先用語,膀胱三角,Trigone of bladder,
C67.1,specific,優先用語,膀胱円蓋,Dome of bladder,
C67.2,specific,優先用語,膀胱側壁,Lateral wall of bladder,
C67.3,specific,優先用語,膀胱前壁,Anterior wall of bladder,
C67.4,specific,優先用語,膀胱後壁,Posterior wall of bladder,
C67.5,specific,優先用語,膀胱頸部,Bladder neck,
C67.5,specific,同義語,内尿道口,Internal urethral orifice,
C67.6,specific,優先用語,尿管口,Ureteric orifice,
C67.7,specific,優先用語,尿膜管,Urachus,
C67.8,specific,優先用語,膀胱の境界部病巣,Overlapping lesion of bladder,
C67.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C67.9,specific,優先用語,膀胱，ＮＯＳ,"Bladder, NOS",
C67.9,specific,同義語,膀胱壁，ＮＯＳ,"Bladder wall, NOS Urinary bladder, NOS",
C68,category,優先用語,その他及び部位不明の泌尿器,OTHER AND UNSPECIFIED URINARY ORGANS,
C68.0,specific,優先用語,尿道,Urethra,
C68.0,specific,同義語,カウパー腺,Cowper gland,
C68.0,specific,同義語,前立腺小室,Prostatic utricle,
C68.0,specific,同義語,尿道腺,Urethral gland,
C68.1,specific,優先用語,尿道傍腺,Paraurethral gland,
C68.8,specific,優先用語,泌尿器の境界部病巣,Overlapping lesion of urinary organs,
C68.8,specific,同義語,注：泌尿器の新生物〈腫瘍〉で，その発生,Note : Neoplasms of urinary organs,
C68.8,specific,同義語,部位がC64-C68.1のいずれの項目に,whose point of origin cannot be,
C68.8,specific,同義語,も分類されないもの,assigned to any one of the categories C64 to C68.1.,
C68.9,specific,優先用語,尿路系，ＮＯＳ,"Urinary system, NOS",
C69,category,優先用語,眼及び付属器,EYE AND ADNEXA,
C69.0,specific,優先用語,結膜,Conjunctiva,
C69.1,specific,優先用語,角膜，ＮＯＳ,"Cornea, NOS",
C69.1,specific,同義語,角膜縁,Limbus of cornea,
C69.2,specific,優先用語,網膜,Retina,
C69.3,specific,優先用語,脈絡膜,Choroid,
C69.4,specific,優先用語,毛様体,Ciliary body,
C69.4,specific,同義語,水晶体,Crystalline lens,
C69.4,specific,同義語,虹彩,Iris,
C69.4,specific,同義語,強膜,Sclera,
C69.4,specific,同義語,ぶどう膜,Uveal tract,
C69.4,specific,同義語,眼内器管,Intraocular,
C69.4,specific,同義語,眼球,Eyeball,
C69.5,specific,優先用語,涙腺,Lacrimal gland,
C69.5,specific,同義語,涙管，ＮＯＳ,"Lacrimal duct, NOS",
C69.5,specific,同義語,鼻涙管,Nasal lacrimal duct Nasolacrimal duct,
C69.5,specific,同義語,涙のう,Lacrimal sac,
C69.6,specific,優先用語,眼窩，ＮＯＳ,"Orbit, NOS",
C69.6,specific,同義語,眼窩の自律神経系,Autonomic nervous system of orbit,
C69.6,specific,同義語,眼窩の結合組織,Connective tissue of orbit,
C69.6,specific,同義語,外眼筋,Extraocular muscle,
C69.6,specific,同義語,眼窩の末梢神経,Peripheral nerves of orbit,
C69.6,specific,同義語,眼球後部組織,Retrobulbar tissue,
C69.6,specific,同義語,眼窩の軟部組織,Soft tissue of orbit,
C69.8,specific,優先用語,眼及び付属器の境界部病巣,Overlapping lesion of eye and adnexa,
C69.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C69.9,specific,優先用語,眼，ＮＯＳ,"Eye, NOS",
C70,category,優先用語,髄膜,MENINGS,
C70.0,specific,優先用語,脳髄膜,Cerebral meninges,
C70.0,specific,同義語,頭蓋硬膜,Cranial dura mater,
C70.0,specific,同義語,頭蓋髄膜,Cranial meninges,
C70.0,specific,同義語,頭蓋軟膜,Cranial pia mater,
C70.0,specific,同義語,小脳鎌,Falx cerebelli,
C70.0,specific,同義語,大脳鎌,Falx cerebri,
C70.0,specific,同義語,鎌，ＮＯＳ,"Falx, NOS",
C70.0,specific,同義語,頭蓋内くも膜,Intracranial arachnoid,
C70.0,specific,同義語,頭蓋内髄膜,Intracranial meninges,
C70.0,specific,同義語,小脳テント,Tentorium cerebelli,
C70.0,specific,同義語,テント，ＮＯＳ,"Tentorium, NOS",
C70.1,specific,優先用語,脊髄膜,Spinal meninges,
C70.1,specific,同義語,脊髄くも膜,Spinal arachnoid,
C70.1,specific,同義語,脊髄硬膜,Spinal dura mater,
C70.1,specific,同義語,脊髄軟膜,Spinal pia mater,
C70.9,specific,優先用語,髄膜，ＮＯＳ,"Meninges, NOS",
C70.9,specific,同義語,くも膜，ＮＯＳ,"Arachnoid, NOS",
C70.9,specific,同義語,硬膜，ＮＯＳ,"Dura, NOS",
C70.9,specific,同義語,軟膜，ＮＯＳ,"Dura mater, NOS Pia mater, NOS",
C71,category,優先用語,脳,BRAIN,
C71.0,specific,優先用語,大脳 ※脳梁（C71.8から移動）,Cerebrum,
C71.0,specific,同義語,大脳基底核,Basal ganglia,
C71.0,specific,同義語,中心白質,Central white matter,
C71.0,specific,同義語,大脳皮質,Cerebral cortex,
C71.0,specific,同義語,大脳半球,Cerebral hemisphere,
C71.0,specific,同義語,大脳白質,Cerebral white matter,
C71.0,specific,同義語,線条体,Corpus striatum,
C71.0,specific,同義語,淡蒼球,Globus pallidus,
C71.0,specific,同義語,視床下部,Hypothalamus,
C71.0,specific,同義語,島,Insula,
C71.0,specific,同義語,内包,Internal capsule,
C71.0,specific,同義語,ライル島,Island of Reil,
C71.0,specific,同義語,弁蓋,Operculum,
C71.0,specific,同義語,外套,Pallium,
C71.0,specific,同義語,被殻,Putamen,
C71.0,specific,同義語,嗅脳,Rhinencephalon,
C71.0,specific,同義語,テント上，ＮＯＳ,"Supratentorial brain, NOS",
C71.0,specific,同義語,視床,Thalamus,
C71.1,specific,優先用語,前頭葉,Frontal lobe,
C71.1,specific,同義語,前頭極,Frontal pole,
C71.2,specific,優先用語,側頭葉,Temporal lobe,
C71.2,specific,同義語,海馬,Hippocampus,
C71.2,specific,同義語,鉤,Uncus,
C71.3,specific,優先用語,頭頂葉,Parietal lobe,
C71.4,specific,優先用語,後頭葉,Occipital lobe,
C71.4,specific,同義語,後頭極,Occipital pole,
C71.5,specific,優先用語,脳室，ＮＯＳ,"Ventricle, NOS Cerebral ventricle",
C71.5,specific,同義語,脈絡そう（叢），ＮＯＳ,"Choroid plexus, NOS",
C71.5,specific,同義語,側脳室の脈絡そう（叢）,Choroid plexus of lateral ventricle,
C71.5,specific,同義語,第３脳室の脈絡そう（叢）,Choroid plexus of third ventricle,
C71.5,specific,同義語,脳室上衣,Ependyma,
C71.5,specific,同義語,側脳室，ＮＯＳ,"Lateral ventricle, NOS",
C71.5,specific,同義語,第３脳室，ＮＯＳ,"Third ventricle, NOS",
C71.6,specific,優先用語,小脳，ＮＯＳ,"Cerebellum, NOS",
C71.6,specific,同義語,小脳橋角部,Cerebellopontine angle,
C71.6,specific,同義語,小脳虫部,Vermis of cerebellum,
C71.7,specific,優先用語,脳幹,Brain stem,
C71.7,specific,同義語,脳脚,Cerebral peduncle,
C71.7,specific,同義語,脳底,Basis pedunculi,
C71.7,specific,同義語,第４脳室の脈絡そう,Choroid plexus of fourth ventricle,
C71.7,specific,同義語,第４脳室，ＮＯＳ,"Fourth ventricle, NOS",
C71.7,specific,同義語,テント下，ＮＯＳ,"Infratentorial brain, NOS",
C71.7,specific,同義語,延髄,Medulla oblongata,
C71.7,specific,同義語,中脳,Midbrain,
C71.7,specific,同義語,オリーブ,Olive,
C71.7,specific,同義語,橋,Pons,
C71.7,specific,同義語,錐体,Pyramid,
C71.8,specific,優先用語,脳の境界部病巣,Overlapping lesion of brain,
C71.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C71.8,specific,同義語,（脳梁はC71.0へ移動）,Corpus callosum,
C71.8,specific,同義語,輝板,Tapetum,
C71.9,specific,優先用語,脳，ＮＯＳ,"Brain, NOS",
C71.9,specific,同義語,頭蓋内の部位,Intracranial site,
C71.9,specific,同義語,頭蓋窩，ＮＯＳ,"Cranial fossa, NOS",
C71.9,specific,同義語,前頭蓋窩,Anterior cranial fossa,
C71.9,specific,同義語,中頭蓋窩,Middle cranial fossa,
C71.9,specific,同義語,後頭蓋窩,Posterior cranial fossa,
C71.9,specific,同義語,鞍上部,Suprasellar,
C72,category,優先用語,脊髄，脳神経及びその他の中枢神経系（末梢神経，交感神経，副交感神経及び神経節C47を除く）,"SPINAL CORD, CRANIAL NERVES, AND OTHER PARTS OF CENTRAL NERVOUS SYSTEM (excludes peripheral nerves, sympathetic and parasympathetic nerves and ganglia C47)",
C72.0,specific,優先用語,脊髄,Spinal cord,
C72.0,specific,同義語,頸髄,Cervical cord,
C72.0,specific,同義語,脊髄円錐,Conus medullaris,
C72.0,specific,同義語,終糸,Filum terminale,
C72.0,specific,同義語,腰髄,Lumbar cord,
C72.0,specific,同義語,仙髄,Sacral cord,
C72.0,specific,同義語,胸髄,Thoracic cord,
C72.1,specific,優先用語,馬尾,Cauda equina,
C72.2,specific,優先用語,嗅神経,Olfactory nerve,
C72.3,specific,優先用語,視神経,Optic nerve,
C72.3,specific,同義語,視交叉,Optic chiasm,
C72.3,specific,同義語,視索,Optic tract,
C72.4,specific,優先用語,聴神経,Acoustic nerve,
C72.5,specific,優先用語,脳神経，NOS,"Cranial nerve, NOS",
C72.5,specific,同義語,外転神経,Abducens nerve,
C72.5,specific,同義語,副神経，NOS,"Accessory nerve, NOS",
C72.5,specific,同義語,副神経，NOS,Spinal accessory nerve,
C72.5,specific,同義語,顔面神経,Facial nerve,
C72.5,specific,同義語,舌咽神経,Glossopharyngeal nerve,
C72.5,specific,同義語,舌下神経,Hypoglossal nerve,
C72.5,specific,同義語,動眼神経,Oculomotor nerve,
C72.5,specific,同義語,三叉神経,Trigeminal nerve,
C72.5,specific,同義語,滑車神経,Trochlear nerve,
C72.5,specific,同義語,迷走神経,Vagus nerve,
C72.8,specific,優先用語,脳及び中枢神経系の境界部病巣,Overlapping lesion of brain and central nervous system,
C72.8,specific,同義語,注：脳及び中枢神経系の新生物〈腫瘍〉で，その発生部位がC70-C72.5のいずれの項目にも分類されないもの,Note : Neoplasms of brain and central nervous system whose point of origin cannot be assigned to any one of the categories C70 to C72.5.,
C72.9,specific,優先用語,神経系，NOS,"Nervous system, NOS",
C72.9,specific,同義語,中枢神経系,Central nervous system,
C72.9,specific,同義語,硬膜外,Epidural,
C72.9,specific,同義語,硬膜外,Extradural,
C72.9,specific,同義語,傍トルコ鞍部,Parasellar,
C73,category,優先用語,甲状腺,THYROID GLAND,
C73.9,specific,優先用語,甲状腺,Thyroid gland,
C73.9,specific,同義語,甲状腺，ＮＯＳ,"Thyroid, NOS",
C73.9,specific,同義語,甲状舌管,Thyroglossal duct,
C74,category,優先用語,副腎,ADRENAL GLAND,
C74.0,specific,優先用語,副腎皮質,Cortex of adrenal gland,
C74.1,specific,優先用語,副腎髄質,Medulla of adrenal gland,
C74.9,specific,優先用語,副腎，ＮＯＳ,"Adrenal gland, NOS Suprarenal gland Adrenal, NOS",
C75,category,優先用語,その他の内分泌腺及び関連組織,OTHER ENDOCRINE GLANDS AND RELATED STRUCTURES,
C75.0,specific,優先用語,上皮小体,Parathyroid gland,
C75.1,specific,優先用語,下垂体,Pituitary gland,
C75.1,specific,同義語,下垂体，ＮＯＳ,"Pituitary, NOS",
C75.1,specific,同義語,ラトケのう（嚢）,Hypophysis,
C75.1,specific,同義語,トルコ鞍,Rathke pouch,
C75.1,specific,同義語,下垂体窩,Sella turcica Pituitary fossa,
C75.2,specific,優先用語,頭蓋咽頭管,Craniopharyngeal duct,
C75.3,specific,優先用語,松果体,Pineal gland,
C75.4,specific,優先用語,頸動脈小体,Carotid body,
C75.5,specific,優先用語,大動脈小体及びその他のパラガングリア,Aortic body and other paraganglia,
C75.5,specific,同義語,尾骨小体,Coccygeal body,
C75.5,specific,同義語,尾骨糸球,Coccygeal glomus,
C75.5,specific,同義語,頸動脈小体,Glomus jugulare,
C75.5,specific,同義語,傍大動脈体,Para-aortic body,
C75.5,specific,同義語,ツッカーカンドル器官,Organ of Zuckerkandl,
C75.5,specific,同義語,パラガングリオン,Paraganglion,
C75.8,specific,優先用語,内分泌腺及び関連組織の境界部病巣,Overlapping lesion of endocrine glands and related structures,
C75.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C75.8,specific,同義語,多内分泌腺（複数の内分泌腺）,Multiple endocrine glands,
C75.8,specific,同義語,多腺性（多発性内分泌腺）,Pluriglandular,
C75.9,specific,優先用語,内分泌腺，ＮＯＳ,"Endocrine gland, NOS",
C76,category,優先用語,その他及び不明確な部位,OTHER AND ILL-DEFINED SITES,
C76.0,specific,優先用語,頭部，顔面又は頸部，ＮＯＳ,"Head, face or neck, NOS",
C76.0,specific,同義語,頬，ＮＯＳ,"Cheek, NOS",
C76.0,specific,同義語,顎，ＮＯＳ,"Jaw, NOS",
C76.0,specific,同義語,鼻，ＮＯＳ,"Nose, NOS",
C76.0,specific,同義語,頸部，ＮＯＳ,"Cervical region, NOS",
C76.0,specific,同義語,鎖骨上部，ＮＯＳ,"Supraclavicular region, NOS",
C76.1,specific,優先用語,胸郭，ＮＯＳ,"Thorax, NOS",
C76.1,specific,同義語,腋窩，ＮＯＳ,"Axilla, NOS",
C76.1,specific,同義語,胸部，ＮＯＳ,"Chest, NOS",
C76.1,specific,同義語,胸壁，ＮＯＳ,"Chest wall, NOS",
C76.1,specific,同義語,胸腔内，ＮＯＳ,"Intrathoracic site, NOS",
C76.1,specific,同義語,胸郭壁，ＮＯＳ,"Thoracic wall, NOS",
C76.1,specific,同義語,鎖骨下部，ＮＯＳ,"Infraclavicular region, NOS",
C76.1,specific,同義語,肩甲部，ＮＯＳ,"Scapular region, NOS",
C76.2,specific,優先用語,腹部，ＮＯＳ,"Abdomen, NOS",
C76.2,specific,同義語,腹壁，ＮＯＳ,"Abdominal wall, NOS",
C76.2,specific,同義語,腹腔内，ＮＯＳ,"Intra-abdominal site, NOS",
C76.3,specific,優先用語,骨盤，ＮＯＳ,"Pelvis, NOS",
C76.3,specific,同義語,殿部，ＮＯＳ,"Buttock, NOS",
C76.3,specific,同義語,そけい部，ＮＯＳ,"Groin, NOS",
C76.3,specific,同義語,坐骨直腸窩,Ischiorectal fossa,
C76.3,specific,同義語,骨盤壁，ＮＯＳ,"Pelvic wall, NOS",
C76.3,specific,同義語,会陰部，ＮＯＳ,"Perineum, NOS",
C76.3,specific,同義語,直腸腟中隔,Rectovaginal septum,
C76.3,specific,同義語,直腸膀胱中隔,Rectovesical septum,
C76.3,specific,同義語,殿部，ＮＯＳ,"Gluteal region, NOS",
C76.3,specific,同義語,そけい部，ＮＯＳ,"Inguinal region, NOS",
C76.3,specific,同義語,直腸周囲，ＮＯＳ,"Perirectal region, NOS",
C76.3,specific,同義語,仙骨前部，ＮＯＳ,"Presacral region, NOS",
C76.3,specific,同義語,仙尾骨部，ＮＯＳ,"Sacrococcygeal region, NOS",
C76.4,specific,優先用語,上肢，ＮＯＳ,"Upper limb, NOS",
C76.4,specific,同義語,肘前窩，ＮＯＳ,"Antecubital space, NOS",
C76.4,specific,同義語,腕，ＮＯＳ,"Arm, NOS",
C76.4,specific,同義語,肘，ＮＯＳ,"Elbow, NOS",
C76.4,specific,同義語,指，ＮＯＳ,"Finger, NOS",
C76.4,specific,同義語,前腕，ＮＯＳ,"Forearm, NOS",
C76.4,specific,同義語,手，ＮＯＳ,"Hand, NOS",
C76.4,specific,同義語,肩，ＮＯＳ,"Shoulder, NOS",
C76.4,specific,同義語,母指，ＮＯＳ,"Thumb, NOS",
C76.4,specific,同義語,手首，ＮＯＳ,"Wrist, NOS",
C76.5,specific,優先用語,下肢，ＮＯＳ,"Lower limb, NOS",
C76.5,specific,同義語,足首，ＮＯＳ,"Ankle, NOS",
C76.5,specific,同義語,ふくらはぎ，ＮＯＳ,"Calf, NOS",
C76.5,specific,同義語,足，ＮＯＳ,"Foot, NOS",
C76.5,specific,同義語,かかと，ＮＯＳ,"Heel, NOS",
C76.5,specific,同義語,股関節部，ＮＯＳ,"Hip, NOS",
C76.5,specific,同義語,膝，ＮＯＳ,"Knee, NOS",
C76.5,specific,同義語,脚，ＮＯＳ,"Leg, NOS",
C76.5,specific,同義語,膝窩，ＮＯＳ,"Popliteal space, NOS",
C76.5,specific,同義語,大腿，ＮＯＳ,"Thigh, NOS",
C76.5,specific,同義語,趾，ＮＯＳ,"Toe, NOS",
C76.7,specific,優先用語,その他の不明確な部位,Other ill-defined sites,
C76.7,specific,同義語,背部，ＮＯＳ,"Back, NOS",
